key,loudness,tempo,duration_ms,playlist_uri
7,-4.751,76.0,448573,1
2,-5.564,120.03,234947,0
8,-3.947,118.193,257760,1
2,-12.923,146.154,308933,1
5,-3.393,135.002,206067,0
0,-4.798,128.025,241960,1
2,-6.645,121.981,189120,0
5,-2.749,100.015,214290,0
0,-5.539,89.946,284160,0
5,-11.255,129.979,273533,0
0,-8.18,106.186,258411,1
5,-4.165,143.994,233478,0
5,-13.461,101.641,165507,1
9,-3.908,115.996,294987,1
9,-7.689,140.112,209573,1
5,-7.378,110.045,257027,0
5,-5.763,99.137,236853,0
5,-4.25,97.557,224373,0
5,-5.379,109.021,220734,0
0,-6.362,152.875,295466,1
5,-5.421,96.006,231827,0
7,-10.687,93.503,206267,1
7,-6.887,88.98,226173,0
9,-8.103,117.651,238000,1
9,-5.333,146.591,257120,1
2,-3.23,138.066,169440,0
9,-4.106,170.094,186635,1
9,-6.696,117.2,271280,1
0,-11.097,145.075,377093,1
10,-3.238,93.979,212147,0
0,-9.744,120.151,257800,1
0,-7.223,114.988,269667,0
9,-8.611,119.855,259827,1
2,-13.074,136.883,162773,0
7,-5.411,115.011,196839,0
5,-5.762,97.953,140665,0
9,-12.142,158.32,256773,1
0,-9.289,108.217,166280,1
7,-12.969,105.911,222267,1
9,-6.727,129.885,222427,1
7,-13.208,128.399,256933,1
2,-4.671,127.631,282747,1
10,-9.655,119.528,292613,0
5,-8.237,91.873,201000,0
0,-13.567,120.338,162133,0
2,-4.565,171.374,326467,0
0,-10.108,151.505,312360,1
5,-4.609,140.086,273787,0
2,-9.263,121.06,189145,0
5,-3.04,96.313,244813,0
7,-5.735,126.755,323000,1
0,-4.282,116.044,221947,1
0,-7.29,120.634,285333,1
5,-9.208,89.937,261923,0
2,-6.583,99.259,235933,0
0,-13.589,177.679,264333,1
0,-5.356,137.028,230760,1
0,-11.361,141.304,294000,1
0,-5.181,144.991,205485,0
0,-5.927,139.994,148486,0
0,-8.806,179.239,336200,1
9,-14.745,129.012,252773,1
0,-10.72,104.564,165000,1
9,-9.732,122.135,300147,1
9,-4.321,152.445,230667,1
5,-4.701,122.121,204773,0
2,-4.667,128.029,227267,0
0,-5.135,125.274,207147,1
9,-4.341,151.99,186827,0
9,-10.385,137.621,247973,1
5,-4.939,159.779,321093,0
9,-9.004,114.834,249573,1
9,-4.613,126.47,352906,1
5,-6.416,76.329,240933,1
5,-10.097,112.098,176507,0
5,-4.948,93.019,218760,0
0,-3.316,128.393,233653,1
2,-6.703,99.989,226003,0
5,-5.099,159.814,220947,0
5,-5.785,80.994,239317,0
5,-16.239,177.279,302933,1
0,-6.219,129.981,241600,1
5,-11.193,95.014,225863,0
0,-13.371,88.236,227693,1
9,-9.208,116.959,197413,1
9,-6.703,113.796,274118,1
0,-8.072,128.496,165827,1
5,-3.944,175.038,223053,0
10,-5.453,126.012,331507,0
5,-7.067,102.04,195881,0
0,-5.963,174.732,200293,1
5,-6.862,72.995,196760,0
2,-4.438,83.469,228533,0
2,-5.294,102.966,181812,0
10,-5.576,184.086,250627,0
5,-8.107,113.998,351120,0
0,-5.721,113.035,237547,1
5,-4.63,130.028,216160,0
9,-10.433,118.178,237467,1
5,-6.114,138.892,191253,0
5,-5.523,110.038,243947,0
9,-12.049,82.433,482830,1
9,-4.02,111.934,219973,1
9,-14.104,61.084,251107,1
5,-5.109,118.773,234333,1
2,-6.077,120.007,240080,0
2,-7.099,112.995,341947,0
0,-8.492,86.895,136027,1
2,-7.784,148.189,503067,1
5,-5.547,111.974,207493,0
0,-7.816,125.315,187973,1
5,-7.622,139.791,332080,0
0,-11.75,113.633,217747,1
2,-5.26,119.977,235573,0
10,-4.865,144.905,230192,0
9,-8.395,113.688,163893,1
0,-16.23,125.11,352933,1
5,-6.243,184.021,259999,0
2,-7.011,105.552,343173,0
5,-6.482,76.371,160107,0
2,-5.61,151.941,153133,1
9,-10.164,111.893,240707,1
2,-5.351,127.052,238680,0
8,-5.964,139.138,227800,1
2,-15.15,97.646,286160,0
5,-4.242,137.99,229565,0
5,-5.015,89.132,144530,0
5,-4.124,125.896,210013,0
2,-3.879,108.003,241693,0
0,-15.882,104.114,238747,0
5,-6.761,139.631,278719,0
2,-6.929,105.013,249143,0
9,-9.058,131.016,198707,1
5,-4.413,92.53,145093,0
2,-8.591,128.909,168707,0
0,-9.223,108.966,222667,0
7,-8.806,124.966,313027,1
0,-6.04,121.04,210173,1
0,-7.036,129.062,244973,0
4,-9.937,80.544,230480,1
2,-6.159,116.63,249200,0
9,-3.896,110.021,202907,1
0,-5.226,114.95,147600,1
0,-13.664,134.48,318027,1
0,-6.865,115.443,220560,1
0,-3.75,118.99,294573,1
0,-13.843,75.143,258835,1
2,-8.795,150.062,204600,0
7,-6.376,129.989,234813,0
0,-8.339,143.462,243027,1
0,-3.911,127.966,234560,1
9,-8.55,141.466,308120,1
0,-8.867,102.762,174827,1
0,-7.772,127.568,220627,1
9,-10.241,113.701,187800,1
7,-8.606,97.82,234693,0
9,-7.695,125.02,337733,0
2,-5.664,164.019,153840,1
0,-6.408,130.991,246573,1
0,-9.321,130.439,243067,1
0,-4.862,82.142,217419,1
0,-4.833,167.997,187147,1
2,-11.698,153.249,302600,0
2,-7.394,181.962,157135,0
9,-9.385,121.556,245480,1
0,-7.025,118.738,170800,1
