key,loudness,tempo,duration_ms,playlist_uri
8,-9.445,181.995,217933,0
1,-2.691,104.891,192000,0
10,-6.619,99.565,189427,0
5,-6.136,159.801,218147,0
8,-2.235,160.113,167898,0
10,-6.403,117.489,284831,0
11,-9.963,112.974,375929,1
8,-12.569,134.855,313804,1
1,-14.703,139.995,336208,1
5,-8.113,92.977,197867,0
0,-10.921,120.001,248547,1
5,-4.595,91.376,216000,1
0,-6.798,139.975,292659,1
5,-2.825,140.0,281147,0
9,-12.469,140.009,304743,1
8,-6.35,111.002,212027,0
5,-6.976,113.778,163805,0
8,-13.508,140.029,228143,1
11,-2.476,165.922,257349,0
1,-4.977,134.938,201240,0
3,-5.075,96.057,179449,0
3,-14.471,87.11,176329,1
5,-6.181,100.001,157202,0
11,-7.916,172.104,181933,0
7,-18.108,116.083,231724,1
0,-6.192,79.493,292286,1
11,-8.18,136.087,225373,0
2,-1.918,159.99,208253,0
1,-8.726,131.964,232727,1
1,-5.21,90.032,221333,1
3,-3.47,128.005,191388,0
7,-5.524,130.088,238163,0
5,-5.797,122.984,201455,0
0,-5.331,75.211,357450,1
5,-2.318,121.962,187510,0
0,-18.411,70.069,343537,1
6,-11.453,85.0,172860,1
7,-13.0,119.975,224016,1
3,-7.044,147.922,212120,1
1,-12.885,155.05,210581,1
5,-4.635,150.163,219200,0
7,-7.972,81.037,231111,1
10,-5.211,121.993,196215,0
11,-5.85,140.958,190557,0
6,-13.292,140.035,226286,1
0,-17.342,67.282,187716,1
9,-19.69,96.996,240000,1
11,-14.41,113.727,242105,1
11,-2.872,125.027,157000,0
8,-12.467,139.987,288000,1
0,-14.981,96.129,220000,1
10,-5.776,159.869,193902,0
11,-8.251,130.981,302000,1
9,-12.079,83.493,241515,1
1,-6.941,167.909,197133,0
1,-4.058,141.872,179613,0
0,-3.067,97.033,321649,0
9,-2.917,124.968,206640,0
11,-7.674,117.01,196964,1
9,-15.29,97.006,350000,1
7,-2.302,110.026,215253,0
9,-20.284,140.005,236576,1
4,-17.849,139.98,232952,1
10,-6.806,124.08,152913,0
10,-3.989,159.984,221250,1
6,-22.633,180.124,165375,1
8,-10.365,129.998,395410,1
8,-3.299,175.033,189720,0
4,-7.029,186.157,139598,0
4,-6.373,95.005,206187,0
5,-5.554,172.133,270307,1
6,-5.266,125.854,183366,0
7,-13.913,119.933,275263,1
8,-10.703,135.5,219631,1
4,-6.6,60.042,341000,1
5,-14.457,131.124,293130,1
9,-9.416,143.984,243409,1
2,-4.115,124.967,226562,0
10,-5.804,145.038,231267,0
1,-4.506,122.983,168795,0
0,-9.271,115.764,199990,1
7,-5.199,124.972,237051,0
6,-3.04,96.025,185195,0
7,-8.393,111.13,201733,1
11,-12.119,100.997,235400,1
9,-8.353,90.046,162818,1
1,-4.107,121.924,169467,0
4,-4.989,100.023,209467,0
0,-4.747,153.993,292093,0
5,-6.347,140.026,288000,1
11,-6.827,124.972,208320,0
5,-6.235,128.074,211880,0
2,-4.489,139.961,207827,0
5,-12.281,140.022,128572,1
7,-8.612,126.021,240039,1
1,-9.52,145.032,324414,1
11,-13.708,129.992,336104,1
0,-15.914,139.997,223286,1
2,-5.21,149.963,179200,0
5,-11.555,112.092,245703,1
9,-11.115,89.989,244000,1
7,-17.13,74.018,252012,1
1,-8.668,135.996,294275,1
1,-11.449,147.328,198972,1
4,-10.637,127.989,247500,1
1,-4.137,150.088,239853,0
7,-6.034,153.053,189751,1
10,-7.564,108.011,497778,1
0,-2.848,145.01,245267,0
2,-3.462,104.008,171960,0
4,-6.365,86.003,180522,0
1,-4.508,124.025,188175,0
7,-9.441,77.176,198960,0
5,-10.024,134.981,309333,1
11,-7.986,105.91,222547,0
1,-4.909,125.098,205440,0
1,-3.241,173.931,188773,0
7,-5.101,123.002,209792,0
11,-7.399,99.947,149520,0
4,-3.096,126.016,196667,0
1,-3.075,85.433,382262,0
6,-5.198,87.483,240000,1
0,-17.547,109.992,245613,1
6,-15.522,120.01,448010,1
8,-6.298,125.946,192867,0
1,-7.475,143.931,188320,0
1,-11.403,84.087,220962,1
8,-11.829,90.989,211779,1
0,-8.059,120.03,223500,1
8,-12.441,133.097,300728,1
6,-12.445,86.891,176552,1
5,-8.105,139.03,219385,0
9,-13.685,80.175,176000,1
7,-9.481,129.954,256000,1
11,-17.63,137.02,201460,1
7,-7.53,130.106,373914,1
5,-16.671,139.991,226286,1
6,-18.686,110.993,216227,1
8,-10.839,113.508,254118,1
2,-16.4,78.654,226242,1
10,-15.269,129.97,322281,1
8,-7.509,92.78,272507,0
