key,loudness,tempo,duration_ms,playlist_uri
6,-12.927,100.009,183600,1
5,-9.152,126.901,221102,1
10,-13.389,130.029,184615,1
5,-11.442,75.303,181166,1
5,-9.842,118.994,226013,1
5,-5.898,77.987,244507,0
2,-10.678,156.026,147933,1
1,-9.528,105.004,297429,1
1,-9.106,148.024,160120,1
1,-5.23,148.033,222973,0
9,-4.261,126.928,209267,0
1,-2.248,95.095,212938,0
0,-8.088,102.945,190714,1
1,-3.127,177.751,175093,0
11,-10.832,140.026,273864,1
7,-5.605,82.976,241222,2
10,-5.057,154.837,203507,0
9,-8.317,126.482,323600,0
11,-4.739,77.577,257253,0
0,-5.356,137.028,230760,0
0,-10.106,107.988,192477,1
5,-3.117,143.952,151533,2
10,-7.743,154.996,172021,2
8,-3.509,132.078,193893,0
2,-5.001,129.786,247067,2
7,-9.393,100.009,145000,1
6,-4.054,116.529,264707,0
8,-4.151,116.68,218933,0
3,-13.091,176.703,200213,1
3,-11.854,129.942,190433,1
1,-3.677,172.977,211520,0
8,-13.251,109.981,173459,1
8,-11.428,142.034,184905,2
4,-3.719,90.598,199907,0
0,-15.605,108.741,248808,1
5,-5.021,135.767,199760,0
3,-11.145,115.906,263653,1
2,-9.528,203.852,197453,1
0,-6.337,111.99,226787,2
4,-2.31,126.007,161791,2
9,-8.959,72.025,231067,1
7,-8.998,84.989,264285,1
9,-12.958,137.58,203920,1
5,-10.94,92.653,264453,1
3,-9.93,116.944,150492,1
9,-3.442,91.455,269000,0
9,-2.788,96.483,329733,0
7,-4.902,165.068,159308,2
1,-14.639,123.951,240640,1
7,-11.877,78.478,385653,1
7,-4.647,141.581,299533,0
2,-4.046,128.019,304840,0
7,-6.888,111.021,263080,2
10,-5.042,172.094,223840,0
0,-5.29,194.876,196136,2
0,-4.344,95.594,171533,0
9,-3.767,158.114,172376,2
6,-2.884,128.037,211119,2
1,-13.855,79.913,184451,1
9,-4.106,170.094,186635,0
7,-2.189,92.956,192000,0
5,-6.53,168.049,217000,0
1,-9.04,91.99,327888,1
8,-10.453,159.803,325829,1
4,-5.433,109.781,216760,0
0,-3.929,98.019,167288,2
4,-7.807,123.596,232107,0
9,-9.083,138.038,205229,1
11,-3.198,114.452,180267,0
0,-5.709,104.061,193373,0
11,-5.27,154.004,374973,0
3,-1.912,118.042,147536,2
2,-8.324,157.991,226320,2
6,-19.739,141.855,212158,1
0,-13.986,93.603,288618,1
2,-5.428,162.152,165853,0
10,-9.604,89.836,116053,1
1,-3.358,96.306,213760,0
9,-4.563,123.696,215267,0
9,-5.875,116.046,207093,0
8,-7.533,97.867,256240,0
5,-15.541,106.04,167995,1
0,-6.163,144.04,294893,0
8,-2.603,134.007,195667,0
11,-7.566,123.039,207652,2
6,-5.157,89.342,231480,0
1,-2.297,134.99,181798,2
3,-4.214,113.03,240000,2
0,-5.312,170.944,253813,0
2,-5.506,150.19,303120,0
1,-2.956,161.797,174027,0
11,-9.635,165.837,234213,1
0,-4.496,124.005,211458,2
1,-5.119,130.198,255627,0
9,-10.129,106.027,160720,1
9,-8.266,102.027,192159,1
5,-3.061,183.147,195748,2
8,-4.095,167.06,262333,0
5,-9.018,94.473,290147,1
8,-3.428,148.042,182792,2
5,-5.285,120.119,205613,0
8,-4.278,73.722,209976,2
0,-2.36,96.184,282160,0
5,-5.263,92.044,228261,2
6,-13.774,94.344,207232,1
4,-3.063,111.647,161920,0
