key,loudness,tempo,duration_ms,playlist_uri
1,-4.864,180.089,170368,2
2,-9.93,88.038,171818,1
7,-17.333,118.002,139322,1
1,-5.91,76.468,143529,2
2,-18.611,90.379,144893,0
10,-9.056,84.999,101647,1
9,-5.163,188.202,155246,0
0,-14.693,72.004,160000,1
1,-7.564,119.991,234005,1
9,-4.401,143.971,213547,0
6,-3.202,167.912,192857,0
1,-6.475,111.969,243520,0
2,-8.698,179.706,151120,1
7,-14.197,144.2,265652,1
8,-2.27,95.016,289227,2
2,-10.154,83.94,201533,0
7,-9.183,129.963,198707,2
2,-3.295,154.666,155321,0
9,-13.339,147.559,128366,1
2,-9.972,65.371,173360,1
5,-9.432,89.769,173167,1
3,-17.115,94.796,230067,1
0,-12.646,106.581,231507,0
0,-16.476,83.079,148361,1
6,-4.009,109.315,125373,2
11,-9.182,76.975,137143,1
8,-36.351,70.684,216284,1
1,-15.366,113.018,76850,1
7,-3.413,120.983,148064,2
10,-18.19,183.696,320240,1
4,-13.125,201.025,271177,1
7,-7.098,124.956,216107,1
7,-12.787,149.868,124683,1
0,-6.967,113.777,241787,0
4,-2.494,129.997,239349,2
7,-7.983,170.015,194293,0
9,-10.666,118.925,213754,2
11,-10.392,80.013,86683,1
8,-14.529,80.999,94815,1
7,-4.296,176.099,177953,2
2,-18.045,150.059,140800,1
7,-5.729,179.93,161918,2
8,-10.361,70.094,158571,1
10,-9.923,67.952,222133,0
9,-9.435,79.367,169500,1
7,-4.867,81.995,172107,0
5,-18.709,119.946,233384,1
2,-3.537,76.572,226493,0
9,-10.209,121.808,203373,0
4,-14.677,87.954,122000,1
3,-12.516,119.915,150761,1
0,-11.381,178.612,256686,1
9,-6.029,115.004,431627,2
8,-4.395,164.966,118733,2
8,-3.39,132.01,148754,2
2,-3.454,119.999,158320,0
5,-6.151,174.079,171333,0
1,-2.61,159.972,274387,2
0,-13.271,145.043,172241,1
2,-9.621,144.266,211200,0
6,-3.12,128.938,154831,2
2,-10.518,149.906,155200,1
11,-11.225,94.98,299733,0
8,-4.431,126.966,243160,0
7,-5.07,130.044,144115,2
0,-11.307,79.729,95852,1
6,-9.232,118.399,185360,0
9,-11.549,94.597,153200,0
6,-5.809,122.988,357587,2
1,-12.82,66.515,129925,1
6,-6.587,144.097,213207,0
11,-9.609,154.01,158465,1
4,-6.939,175.823,242045,0
5,-7.295,129.236,179600,0
