key,loudness,tempo,duration_ms,playlist_uri
9,-6.662,77.993,181786,1
9,-6.129,146.992,428000,0
2,-4.819,146.018,484554,0
3,-9.204,77.577,273547,1
7,-6.58,146.015,429041,0
7,-9.265,148.018,442454,0
4,-13.774,76.221,251000,1
4,-10.058,69.462,235853,1
4,-7.842,75.996,246480,1
10,-11.216,76.349,296387,1
2,-14.833,79.693,256639,1
7,-14.651,77.01,236199,1
7,-6.561,148.042,435613,0
7,-5.832,144.0,476667,0
4,-13.414,75.932,243868,1
6,-17.039,75.495,195175,1
11,-6.158,155.858,222293,1
6,-4.534,145.014,470069,0
1,-5.618,144.004,443333,0
6,-5.593,146.002,469315,0
10,-5.699,145.016,453517,0
4,-6.129,74.96,401013,1
5,-6.312,76.902,192993,1
9,-8.278,80.018,201179,1
5,-9.969,80.099,231755,1
10,-6.394,80.344,251693,1
6,-6.392,144.017,493078,0
7,-8.372,74.514,250867,1
7,-6.422,144.994,483310,0
11,-8.594,146.213,420256,0
7,-7.783,144.988,413164,0
2,-8.726,77.818,174867,1
7,-7.036,144.985,468000,0
7,-7.974,148.021,419093,0
5,-10.709,80.015,248920,1
1,-16.071,79.33,199729,1
5,-8.438,77.408,196800,1
1,-10.438,149.953,248840,1
9,-5.994,148.03,441284,0
8,-4.245,79.984,211720,1
3,-12.509,59.54,179827,1
4,-7.742,149.996,438000,0
6,-5.339,147.011,393469,0
2,-7.108,54.134,262320,1
6,-6.588,142.005,422383,0
2,-8.819,79.534,262733,1
6,-6.966,144.998,463448,0
3,-5.917,80.004,259680,1
0,-7.144,180.031,629333,0
4,-8.523,77.53,211053,1
11,-5.647,146.005,483197,0
7,-7.166,146.038,423423,0
7,-6.856,148.999,517047,0
6,-5.716,144.974,390621,0
2,-6.986,147.002,425374,0
7,-6.213,147.994,451750,0
1,-23.684,78.455,228013,1
7,-5.462,146.992,465305,0
7,-4.732,146.012,476712,0
7,-5.002,145.01,675310,0
2,-6.535,62.514,220865,1
0,-5.722,73.247,146283,1
0,-6.509,147.001,463673,0
7,-4.68,147.985,470392,0
7,-14.945,80.169,212853,1
2,-5.628,148.986,459060,0
7,-7.925,137.979,452174,0
5,-7.368,74.985,227080,1
11,-8.247,146.006,430685,0
4,-6.6,60.042,341000,1
3,-9.5,75.641,162453,1
4,-5.499,147.989,434000,0
1,-5.797,145.979,427397,0
11,-6.471,74.981,257253,1
4,-13.246,73.55,156786,1
3,-14.033,79.229,203533,1
1,-13.514,79.981,268933,1
9,-7.94,152.028,502105,0
5,-6.57,74.997,216000,1
7,-7.848,103.074,383321,1
5,-6.412,145.004,402530,0
0,-14.217,66.915,168441,1
9,-5.981,147.99,408360,0
5,-11.117,74.586,205615,1
6,-12.601,60.054,198206,1
5,-10.313,129.127,207719,1
1,-6.606,74.747,269893,1
7,-7.229,141.996,378592,0
9,-6.514,54.539,209630,1
4,-14.166,80.109,203893,1
6,-5.937,142.992,365874,0
9,-9.764,140.002,459429,0
7,-4.944,148.007,458919,0
4,-25.16,73.034,232560,1
7,-4.129,140.017,524571,0
1,-7.101,148.018,477800,0
8,-7.06,180.051,132500,0
9,-17.205,71.772,159804,1
0,-6.679,74.998,198684,1
4,-7.043,71.912,225133,1
7,-6.603,145.002,422069,0
7,-6.31,145.988,445479,0
2,-7.908,145.744,299722,0
0,-7.258,77.994,251707,1
7,-6.931,145.008,439640,0
