key,loudness,tempo,duration_ms,playlist_uri
2,-6.422,176.094,173267,1
10,-13.2,113.578,233760,0
7,-7.987,125.031,146400,1
8,-12.067,93.009,345867,0
7,-9.581,147.087,330001,0
1,-14.536,92.772,340640,0
4,-9.911,117.522,185085,1
8,-12.647,154.923,50274,1
0,-7.532,142.467,107624,1
11,-6.005,137.981,306322,1
8,-5.089,159.952,153000,1
2,-5.104,124.055,130168,1
4,-14.411,107.084,449400,0
1,-6.412,135.022,106893,1
9,-7.926,128.107,125630,1
2,-17.005,122.052,67370,1
5,-11.934,100.761,438204,0
10,1.98,94.162,192444,1
9,-9.567,132.084,156373,1
10,-11.575,135.74,102679,1
9,-9.884,160.061,54047,1
1,-10.2,80.053,49598,1
9,-6.561,77.532,399667,0
7,-6.033,106.721,206936,1
8,-8.353,109.972,126387,1
4,-2.879,113.175,149647,1
5,-11.871,133.217,302987,0
5,-16.256,124.995,307096,1
7,-6.552,119.919,262500,1
0,-15.719,71.763,361733,0
0,-10.536,131.501,166973,1
9,-6.992,115.142,99239,1
1,-11.166,149.685,233260,0
7,-5.277,126.962,221467,1
1,-22.923,83.68,254000,1
0,-11.975,139.614,600000,1
5,-12.956,93.138,411011,0
8,-10.907,80.01,403843,0
11,-7.966,89.831,289681,0
0,-15.335,124.534,197787,0
1,-8.698,137.246,60109,1
7,-17.997,144.059,125000,1
2,-19.022,76.659,102107,0
3,-7.717,128.02,378816,0
3,-7.177,88.009,433280,0
7,-17.887,141.894,732667,0
6,-12.014,94.051,307000,0
0,-7.258,90.042,489000,0
7,-5.715,100.004,308733,0
10,-12.194,131.494,468827,0
8,-17.394,107.449,287270,0
9,-8.759,83.488,243853,0
2,-6.888,106.988,221067,1
11,-15.103,160.113,96000,1
8,-13.321,128.007,50625,1
0,-4.076,135.048,186027,1
3,-11.367,115.641,125520,1
7,-8.562,95.607,214962,1
7,-9.85,120.022,156000,1
2,-8.423,99.464,227107,1
8,-11.288,120.251,235173,0
11,-17.661,159.888,107012,1
11,-9.189,120.013,68310,1
8,-6.465,154.947,136770,1
2,-2.95,124.996,161280,1
5,-4.688,73.926,308276,0
0,-11.205,118.99,118465,1
2,-10.339,110.432,52453,1
0,-8.428,145.281,324253,0
0,-6.932,160.024,157987,1
9,-5.964,120.771,249036,1
8,-10.05,79.974,240693,1
1,-7.052,127.949,129375,1
6,-15.703,169.031,319060,1
10,-8.696,93.772,60836,1
1,-3.082,154.65,102766,1
4,-12.652,171.381,321311,0
7,-5.027,127.954,175312,1
6,-9.817,79.087,269432,0
1,-5.679,120.009,255040,1
11,-3.874,203.259,87986,1
0,-8.886,159.842,180072,1
0,-15.818,119.968,144009,1
1,-19.292,170.111,406773,0
6,-7.91,86.473,382839,0
2,-16.589,163.188,120999,1
6,-6.803,119.947,201640,1
11,-5.843,118.035,89492,1
9,-4.553,201.197,31587,1
3,-6.312,112.812,516227,0
2,-3.321,138.045,168880,1
2,-22.736,87.036,136620,1
9,-7.777,138.041,56961,1
1,-11.16,173.749,162461,1
6,-11.086,119.988,187559,1
9,-2.979,120.998,222769,1
8,-4.416,154.035,398307,1
10,-10.953,70.425,90427,1
6,-8.207,141.459,234867,1
5,-7.072,135.278,163893,1
10,-4.002,160.371,186656,1
1,-10.834,130.049,72072,1
6,-7.718,82.426,274320,0
1,-8.561,128.4,316997,0
8,-11.823,113.309,213573,1
1,-24.999,93.99,61962,1
8,-6.682,176.043,358560,0
8,-3.995,163.954,219802,1
10,-13.859,76.983,263867,0
9,1.593,169.186,231340,1
11,-8.45,142.022,111552,1
2,-5.33,122.08,304923,1
3,-11.817,157.333,322067,0
2,-12.167,124.971,111365,1
10,-6.759,95.923,174395,1
5,-7.13,96.855,86547,1
11,-6.877,150.094,71262,1
10,-13.458,149.309,695088,0
11,-4.834,134.947,295576,1
3,-7.93,115.822,70086,1
0,-14.329,110.027,89391,1
0,-13.212,125.027,153209,1
5,-8.354,130.069,130612,1
4,-13.687,99.801,508133,0
1,-16.3,120.481,381920,0
2,-8.854,152.854,300107,1
6,-13.854,133.815,457600,0
8,-14.719,118.431,368520,0
1,-9.55,103.886,516667,0
0,-9.984,82.882,434453,0
2,-3.444,129.875,90227,1
3,-11.605,151.529,343118,0
5,-13.424,98.838,194133,0
9,-5.037,103.005,165832,1
9,-6.595,105.994,255849,1
0,-14.819,147.774,213080,1
1,-13.046,141.904,186201,1
10,-9.788,119.993,249318,1
10,-7.652,103.644,226520,0
0,-11.968,128.731,209960,0
7,-9.408,163.93,61034,1
7,-19.31,163.926,189205,1
5,-13.826,171.911,538000,0
3,-14.478,93.55,338920,0
0,-9.134,128.009,183350,1
1,-16.266,155.072,75465,1
5,-8.949,89.642,51800,1
5,-9.868,120.157,75285,1
0,-9.185,143.034,221107,1
1,-9.584,118.987,139297,1
